Tiempo, warmup, velocidad autos, velocidad buses, transportadas auto, transportadas buses
3911.00, 310.88, 4.5109, 1.8781, 3038, 12244
3846.50, 246.38, 4.3403, 1.8372, 3002, 11636
3979.75, 379.62, 4.4621, 2.1429, 3043, 12053
3856.50, 256.38, 4.5963, 2.1490, 2960, 11525
3846.50, 246.38, 4.3977, 2.0881, 3225, 11545
3793.25, 193.12, 4.5735, 2.0319, 3047, 11657
3852.50, 252.38, 4.4349, 2.1697, 3063, 12361
3850.75, 250.62, 4.4127, 2.1209, 3104, 11856
3869.50, 269.38, 4.3292, 1.8630, 3141, 11887
3850.25, 250.12, 4.1234, 2.1122, 3213, 11711
3914.25, 314.12, 4.4412, 2.0139, 3155, 12105
3853.00, 252.88, 4.5109, 2.1291, 2959, 11704
3853.50, 253.38, 4.4722, 2.0832, 3139, 11789
3853.25, 253.12, 4.5897, 2.0049, 2970, 12133
3854.00, 253.88, 3.5599, 0.6415, 3055, 6437
3910.25, 310.12, 4.5346, 1.7852, 3011, 11549
3915.00, 314.88, 4.4289, 2.1706, 3135, 11696
3849.75, 249.62, 4.5714, 1.9574, 2939, 12253
3863.50, 263.38, 4.4087, 1.8026, 3146, 11656
3848.25, 248.12, 4.4699, 2.1859, 3083, 11818
3850.25, 250.12, 4.5774, 1.9466, 2974, 11700
3849.75, 249.62, 4.3454, 1.9762, 3023, 12068
3912.75, 312.62, 4.4348, 1.9482, 3051, 12113
3923.50, 323.38, 4.4620, 1.9603, 3018, 12039
3911.75, 311.62, 4.5323, 2.1510, 3045, 12241
3850.00, 249.88, 4.5136, 2.0585, 2974, 12415
3863.50, 263.38, 4.3460, 1.9900, 3058, 12004
3846.50, 246.38, 4.5937, 2.1114, 2871, 12459
3855.75, 255.62, 4.4759, 1.9778, 2960, 11627
3850.00, 249.88, 4.4111, 2.3730, 3006, 11952
3850.25, 250.12, 4.4438, 1.9977, 3131, 12141
3850.00, 249.88, 4.5007, 1.8884, 3088, 11660
3863.50, 263.38, 4.5126, 2.0260, 2985, 11533
3803.50, 203.38, 4.5243, 2.0563, 2913, 11997
3853.75, 253.62, 4.3781, 1.8685, 3018, 11672
3972.50, 372.38, 4.3334, 2.1042, 3212, 11965
3850.75, 250.62, 4.3723, 2.3257, 3169, 11500
3914.25, 314.12, 4.4947, 1.9871, 2979, 12099
3913.75, 313.62, 4.4353, 1.9846, 3080, 11955
3914.00, 313.88, 4.4524, 2.0322, 2946, 11701
3850.75, 250.62, 4.5224, 1.9479, 3000, 11976
