Tiempo, warmup, velocidad autos, velocidad buses, transportadas auto, transportadas buses
1309.00, 273.88, 4.8711, 2.3584, 868, 546
1416.00, 311.88, 4.6866, 2.5112, 971, 562
1391.00, 373.88, 4.7080, 2.4593, 905, 494
1569.00, 253.88, 4.6936, 2.4438, 1153, 702
1519.00, 373.88, 4.2002, 2.0612, 1103, 504
1259.00, 315.38, 4.7416, 2.4384, 788, 462
1785.00, 496.88, 4.7583, 2.3698, 1040, 590
1396.00, 492.38, 4.7525, 2.2037, 768, 423
1225.00, 250.12, 4.5781, 2.3294, 858, 484
1400.00, 497.62, 4.9020, 2.4888, 723, 438
1517.00, 193.62, 4.5843, 2.3243, 1160, 653
1589.00, 450.12, 4.6041, 2.4704, 943, 536
1480.00, 252.38, 4.7705, 2.5432, 996, 622
1688.00, 317.12, 4.8184, 2.3809, 1076, 707
1805.00, 670.12, 4.6525, 2.4771, 965, 565
1152.00, 253.88, 4.5668, 2.4421, 794, 449
1319.00, 309.88, 4.5397, 2.4777, 928, 496
1415.00, 309.88, 4.8077, 2.5355, 925, 558
1253.00, 319.12, 4.8824, 2.6176, 739, 455
1657.00, 432.88, 4.6669, 2.4205, 1001, 589
1399.00, 374.12, 4.8526, 2.5606, 834, 517
1265.00, 253.88, 4.6077, 2.2509, 900, 499
1326.00, 250.38, 4.3089, 2.4446, 945, 566
1683.00, 274.62, 4.5223, 2.2719, 1257, 714
1565.00, 312.38, 4.4531, 2.2957, 1129, 607
1626.00, 250.12, 4.8436, 2.3704, 1110, 669
1045.00, 310.12, 4.5483, 2.3718, 676, 351
1403.00, 313.88, 4.9222, 2.5054, 816, 517
1275.00, 256.12, 4.5872, 2.2714, 851, 510
1398.00, 252.88, 4.6348, 2.4954, 1005, 570
1392.00, 309.88, 4.7078, 2.6783, 829, 526
1603.00, 259.88, 4.4566, 2.3891, 1101, 732
1567.00, 375.88, 4.8372, 2.3714, 967, 551
1159.00, 258.62, 4.4812, 2.5292, 749, 513
1663.00, 370.12, 4.7248, 2.4376, 1079, 642
1908.00, 313.88, 4.6290, 2.2670, 1454, 756
1438.00, 250.12, 4.5172, 2.3509, 1023, 618
1745.00, 433.88, 4.7232, 2.4686, 1151, 655
1095.00, 198.62, 4.7009, 2.3789, 684, 425
1635.00, 517.38, 4.5139, 2.2866, 948, 480
1424.00, 372.38, 4.7799, 2.7064, 889, 552
1244.00, 250.12, 4.8074, 2.4413, 811, 515
1814.00, 430.12, 4.6171, 2.4759, 1153, 624
1253.00, 369.88, 4.8451, 2.3553, 740, 414
1362.00, 250.12, 4.5676, 2.2253, 934, 566
1207.00, 253.62, 4.7206, 2.3788, 829, 482
1327.00, 250.12, 4.7106, 2.4802, 946, 580
1337.00, 262.62, 4.6097, 2.5172, 881, 540
1130.00, 250.12, 4.6159, 2.3259, 759, 470
1136.00, 251.88, 4.7085, 2.4982, 747, 459
1905.00, 186.12, 4.5366, 2.3067, 1531, 799
1391.00, 312.38, 4.5366, 2.1795, 948, 550
1337.00, 309.88, 4.7572, 2.4508, 899, 516
1388.00, 264.38, 4.7647, 2.4928, 913, 551
1512.00, 250.12, 4.7515, 2.4708, 1070, 646
1285.00, 313.62, 4.7656, 2.6313, 796, 431
1275.00, 312.38, 4.6608, 2.4717, 802, 453
1325.00, 249.88, 4.6611, 2.3077, 902, 532
1640.00, 370.12, 4.6845, 2.5465, 1110, 595
1490.00, 493.38, 4.6981, 2.5559, 826, 487
1546.00, 332.88, 4.6567, 2.4179, 1015, 577
1310.00, 189.62, 4.6541, 2.3059, 960, 552
1577.00, 309.88, 4.6521, 2.3937, 1066, 607
1245.00, 253.38, 4.6909, 2.3934, 839, 512
1443.00, 253.38, 4.4270, 2.2428, 1009, 621
1418.00, 312.88, 4.8015, 2.5960, 921, 582
1547.00, 253.62, 4.4153, 2.3044, 1154, 628
1405.00, 372.12, 4.7913, 2.5644, 899, 506
1242.00, 258.12, 4.8633, 2.6013, 760, 540
1423.00, 253.38, 4.7747, 2.4569, 1035, 576
1164.00, 312.62, 4.7604, 2.5035, 759, 427
1249.00, 378.12, 4.6864, 2.4161, 713, 438
1403.00, 392.12, 4.4711, 2.2918, 885, 474
1335.00, 317.38, 4.8510, 2.3980, 880, 490
1201.00, 368.12, 4.5438, 2.3323, 721, 435
1483.00, 313.38, 4.7514, 2.4603, 1045, 621
1394.00, 193.62, 4.8122, 2.3004, 987, 578
1236.00, 314.12, 4.8624, 2.6600, 706, 466
1641.00, 372.12, 4.6009, 2.4293, 1146, 619
1456.00, 253.88, 4.7498, 2.3908, 992, 579
1556.00, 250.38, 4.8128, 2.4034, 1070, 625
1174.00, 255.62, 4.7607, 2.4819, 803, 487
1387.00, 310.12, 4.6636, 2.4629, 983, 546
1329.00, 263.38, 4.5033, 2.3802, 892, 507
1128.00, 429.88, 4.3538, 2.5154, 663, 379
1251.00, 253.62, 4.7561, 2.4025, 818, 483
1321.00, 256.62, 4.6034, 2.4482, 908, 562
1457.00, 313.62, 4.7867, 2.5581, 907, 602
1683.00, 549.62, 4.7109, 2.3756, 983, 549
1570.00, 435.88, 4.4840, 2.4125, 972, 539
