Tiempo, warmup, velocidad autos, velocidad buses, transportadas auto, transportadas buses
1434.00, 196.88, 4.0970, 2.6947, 995, 584
1570.00, 436.62, 4.0595, 2.8710, 969, 536
1293.00, 249.88, 3.7295, 2.9033, 841, 527
1524.00, 253.88, 4.4956, 2.7975, 997, 664
1382.00, 253.62, 3.8671, 2.9439, 950, 559
1338.00, 252.12, 3.9663, 2.7907, 905, 534
1690.00, 253.88, 3.9787, 2.8570, 1206, 701
1399.00, 271.88, 4.2924, 2.7989, 960, 579
1665.00, 369.88, 3.9538, 2.9038, 1100, 623
1559.00, 193.38, 3.7408, 2.8241, 1140, 701
1520.00, 249.88, 3.4287, 2.8041, 1119, 638
1475.00, 374.12, 4.1472, 2.8654, 897, 523
1581.00, 379.62, 3.5723, 2.8073, 1009, 597
1384.00, 370.88, 4.2084, 2.9955, 862, 495
1908.00, 260.12, 3.6930, 2.7782, 1393, 811
1393.00, 257.12, 4.1206, 2.8399, 941, 551
1408.00, 369.88, 3.8003, 2.8765, 855, 505
1564.00, 250.38, 3.8983, 2.8177, 1093, 663
1342.00, 253.62, 3.8074, 2.9658, 906, 530
1382.00, 249.88, 3.4939, 2.6934, 1009, 572
1489.00, 370.12, 4.2166, 2.9153, 935, 539
1245.00, 256.88, 4.2369, 2.9403, 836, 516
1382.00, 256.88, 3.8375, 2.8227, 906, 573
1388.00, 316.88, 3.2180, 2.7914, 905, 524
1518.00, 315.88, 4.1543, 2.8565, 998, 565
1373.00, 317.88, 4.0232, 2.9565, 907, 521
1426.00, 254.12, 4.0519, 2.8709, 1035, 591
1600.00, 379.62, 3.7905, 2.8645, 1019, 576
1574.00, 313.62, 3.8044, 2.7868, 1086, 570
1392.00, 372.62, 4.2900, 2.9883, 781, 552
1393.00, 314.12, 3.7618, 2.7461, 965, 515
1602.00, 317.12, 3.8445, 2.6722, 1098, 605
1396.00, 373.62, 3.2094, 2.8658, 901, 531
1670.00, 313.62, 4.1566, 2.7959, 1106, 642
1432.00, 317.12, 4.1582, 2.9072, 928, 518
1399.00, 256.88, 4.1660, 2.8200, 894, 549
1568.00, 257.12, 3.6578, 2.8878, 1059, 664
1387.00, 257.88, 4.2304, 2.8320, 878, 555
1428.00, 313.88, 4.1122, 2.9141, 913, 543
1559.00, 256.88, 4.1134, 2.9504, 1080, 639
1977.00, 257.12, 3.1932, 2.8494, 1445, 855
1247.00, 256.62, 4.2107, 2.8064, 800, 484
1397.00, 249.88, 4.4494, 2.9297, 879, 568
1387.00, 257.88, 4.3508, 2.9090, 918, 609
1243.00, 256.62, 3.6490, 2.9402, 923, 523
1586.00, 253.38, 3.3415, 2.9710, 1169, 671
1523.00, 373.38, 4.3196, 2.8533, 948, 545
1566.00, 258.38, 4.1798, 3.0229, 1024, 657
1577.00, 397.12, 4.1476, 2.7783, 957, 557
1762.00, 257.12, 4.0587, 2.9007, 1282, 718
1572.00, 377.88, 4.1758, 2.8773, 1041, 539
1520.00, 256.88, 3.8652, 2.9922, 1018, 630
1393.00, 330.88, 3.8001, 2.8226, 900, 479
1254.00, 256.62, 3.2402, 2.8772, 885, 554
1409.00, 316.88, 4.3386, 2.7979, 849, 520
1526.00, 316.38, 3.3235, 2.8800, 1065, 594
1242.00, 256.62, 3.9705, 2.8171, 831, 475
1524.00, 317.88, 3.8440, 2.7859, 966, 598
1419.00, 253.88, 4.2152, 2.8640, 931, 568
1098.00, 212.88, 4.0193, 2.7534, 696, 435
1517.00, 257.88, 3.8854, 2.8586, 1073, 627
1549.00, 204.62, 3.6853, 2.8000, 1160, 669
1296.00, 250.12, 4.0539, 2.9081, 878, 499
